Feature,Importance
ema_3,0.5525909
has_promotion,0.14326973
ema_7,0.111338116
group_lag_1,0.03988427
is_weekend,0.030036256
group_roll_std_3,0.019358957
ema_14,0.011944038
group_lag_2,0.010855422
group_roll_mean_3,0.010602412
price_ratio,0.010268122
group_roll_mean_7,0.009570927
rolling_std_7,0.0047219554
group_roll_std_7,0.004136378
rolling_std_14,0.004110172
group_roll_std_14,0.0032032635
price_difference,0.00248223
group_roll_mean_14,0.0024735103
group_lag_3,0.002264796
rolling_mean_7,0.0021434333
promotion_weekend,0.001985346
meal_type,0.0018634711
event_weekend,0.0013664803
market_gap,0.0011529948
rolling_mean_14,0.0011165702
group_lag_21,0.0011120324
profit_margin,0.0009768045
sin_day,0.0009599459
group_lag_30,0.00094197306
actual_selling_price,0.0008967817
lag_7,0.0008753213
group_lag_7,0.0008294818
profit_estimate,0.00082872674
day_of_week,0.00075750484
lag_14,0.00072283926
sin_month,0.00071328616
group_lag_14,0.0006920307
day,0.00067193195
observed_market_price,0.0005941288
lag_1,0.0005884537
lag_30,0.0005853565
special_event,0.0005250326
typical_ingredient_cost,0.0005235213
menu_item_name,0.0005053795
week_of_year,0.0004913998
cos_month,0.00045190108
restaurant_type,0.00041145706
quarter,0.0003991075
weather_condition,0.00033721136
month,0.00031560686
cos_day,0.00029511753
restaurant_id,0.0002579056
year,0.0
